L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label_True
0.9106195,-0.3238513,-0.42727754,0.6336119,-0.048225306,-0.29232097,-0.2064443,-0.2808171,0.6486768,0.6788088,0.6877274,-0.16359583,-0.16181572,-0.25717488,-0.205513,-0.20179346,0.19385572,-0.15805818,-0.1299477,0.19385572,0.030444873,0.16404538,-0.033353887,-0.066734046,-0.20421696,-0.23560531,0.15497687,0.0075848834,-0.44210255,0.06660141,-0.19142202,0.074640214,-0.20865703,-0.41873255,-0.18304716,0.90394974,0.90395015,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.25247708,-0.09161973,-0.22498575,-0.00326545,-0.28133726,-0.26742804,-0.3252073,0
-0.20358923,-0.3238513,-0.42727754,-1.1066296,-0.035090253,-0.16681615,-0.20614795,-0.17781284,0.6486768,0.6788088,0.6877274,-0.16359583,-0.161531,-0.2566509,-0.205513,-0.20179346,-0.36536533,-0.15805818,-0.1299477,-0.36536533,0.04437822,0.7825626,-0.024656175,0.0064643235,-0.20660557,-0.19889182,0.7392248,0.020164512,-0.1607172,-0.31255358,0.34033978,-0.21222101,-0.20865703,-0.24580806,0.08445106,1.5456549,1.5456554,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.25363502,-0.09161973,-0.22498575,-0.00326545,-0.28133726,-0.26742804,-0.3252073,0
1.3558542,2.6260996,-0.42727754,-0.58926046,-0.0006427973,-0.21701807,-0.2051945,-0.22931498,0.6486768,0.6788088,0.6877274,-0.1638803,-0.16181572,-0.25717488,-0.205513,-0.20179346,0.601892,-0.15805818,-0.1299477,0.601892,0.23799118,2.9917827,0.014269646,0.043063506,-0.20296456,-0.18053508,2.7336102,0.17257681,-0.518844,3.0998414,0.07445889,-0.21222101,-0.19059542,-0.15934582,0.21820018,-0.693765,-0.6937648,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.25363502,-0.09161973,-0.22498575,-0.00326545,-0.28133726,-0.26742804,-0.3252073,0
-0.5342664,-0.3238513,-0.42727754,0.6336119,-0.033722613,-0.16681615,-0.20505278,-0.17781284,0.6486768,0.6788088,0.6877274,-0.16274239,-0.16096158,-0.25560293,-0.205513,-0.20179346,-0.44989875,-0.15805818,-0.1299477,-0.44989875,-0.15432344,0.3876597,-0.023287356,0.0064643235,-0.2055081,-0.19889182,0.40958738,-0.13664152,-0.21187818,0.4457564,0.34033978,-0.21222101,-0.20865703,-0.24580806,0.08445106,2.174264,2.1742647,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.25247708,-0.09161973,-0.22498575,-0.00326545,-0.2826708,-0.26742804,-0.3252073,0
1.5147212,2.4255004,-0.42727754,0.58657837,-0.026770439,0.059092574,-0.080357715,-0.023306474,0.6486768,0.6788088,0.6877274,-0.15819071,-0.15640616,-0.24721909,-0.205513,-0.20179346,1.0440668,-0.15805818,-0.1299477,1.0440668,0.93252623,-0.121680066,-0.028192293,0.043063506,-0.081223026,-0.05203783,-0.06783336,0.9965475,0.14624861,-0.31255358,-0.19142202,0.074640214,-0.082225785,0.4458899,0.21820018,-0.07825193,-0.07825167,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.2490032,-0.09161973,-0.22002037,-0.00326545,-0.27867022,-0.26742804,-0.31727573,0
1.2520479,-0.5999607,1.2917829,-0.58926046,-0.054892555,-0.39272484,-0.21900657,-0.3494866,-1.770644,-1.7589282,-1.7418789,-0.16416478,-0.16238514,-0.25822288,-0.205513,-0.20179346,-0.92296076,0.4745037,1.7855587,-0.92296076,-0.5129557,0.040610265,-0.04515996,-0.21313077,-0.21675391,-0.29067555,0.0023880138,-0.4915473,-0.6467464,0.4457564,-0.19142202,-0.21222101,-0.20865703,-1.0239682,-1.119291,-1.1652218,-1.1652217,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.2513191,-0.08789106,-0.22002037,-0.00326545,-0.28000376,-0.25144303,-0.31727573,0
-0.79834884,0.16041385,-0.42727754,0.58657837,-0.02825205,0.033991605,-0.09772587,-0.04047385,0.6486768,0.6788088,0.6877274,-0.16046655,-0.15839916,-0.250887,-0.205513,-0.20179346,1.0440668,-0.15805818,-0.1299477,1.0440668,1.3912449,0.0462927,-0.028192293,0.043063506,-0.09862759,-0.07039458,0.099283606,1.424297,0.12066812,-0.31255358,-0.19142202,0.074640214,-0.10028739,0.35942763,0.21820018,-0.07825193,-0.07825167,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.2513191,-0.09161973,-0.22498575,-0.00326545,-0.28133726,-0.26742804,-0.3252073,0
1.0752796,-0.59822106,-0.42727754,0.6336119,0.048364338,1.0882323,-0.12047969,0.69772327,0.6486768,0.6788088,0.6877274,0.065125585,0.067378365,0.1646369,-0.205513,-0.20179346,1.2846619,-0.15805818,-0.1299477,1.2846619,-0.6196973,-0.4921086,0.020315269,0.8848447,-0.13754253,0.27838364,-0.45876136,-0.5741617,2.1415265,2.7206864,0.60622066,0.074640214,-0.19059542,2.0022101,3.2944298,2.0825918,2.0825925,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.12510194,-0.0692477,-0.16540127,-0.00326545,-0.13331667,-0.17151803,-0.23002866,0
-1.0328394,1.396736,1.2917829,-0.58926046,-0.055348437,-0.39272484,-0.21905811,-0.3494866,-1.770644,-1.7589282,-1.7418789,-0.16501823,-0.16295457,-0.25979483,-0.205513,-0.20179346,-0.9067043,-0.15805818,-0.1299477,-0.9067043,-0.102224834,1.6264831,-0.04515996,-0.21313077,-0.21675391,-0.29067555,0.6872636,-0.32002863,-0.62116593,0.06660141,-0.19142202,-0.21222101,-0.20865703,-1.0239682,-1.119291,-1.1652218,-1.1652217,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.25363502,-0.09161973,-0.22498575,-0.00326545,-0.2840043,-0.26742804,-0.3252073,0
-0.1797905,2.3405855,-0.42727754,-1.1066296,-0.056944016,-0.34252292,-0.16417064,-0.2808171,0.6486768,-0.043483652,0.6877274,-0.1018638,-0.099748254,-0.14294511,-0.205513,-0.20179346,1.2846619,-0.15805818,-0.1299477,1.2846619,-0.582799,-0.5232949,-0.043563005,-0.1765316,-0.16185468,-0.23560531,-0.49311438,-0.5355894,-0.518844,-0.31255358,-0.19142202,-0.21222101,-0.15447222,-0.41873255,-0.5842945,-0.43184453,-0.43184432,-0.36440614,-0.033473175,-0.003022668,-0.45400903,-0.022554426,-0.055624586,0.02396909,0.0679713,-0.00326545,-0.054639056,0.052271996,0.07137039,0
